CHG TSX,CHG Oil,CHG Gold,CHG Price,Norm_Gold,Norm_Oil,Norm_TSX,TSX,Gold,Crude,Avg TSX,Norm AVG_TSX,CAD Price,AVG Price
-70.3,1.13,2.8,0.0112,0.4458,0.4909,0.484,14163.90039,"1,315.30",46.54,14229,0,0.7365,0.7389
-18.3,1.2,42.75,0.0107,0.8192,0.4962,0.5607,14294.09961,"1,326.10",47.09,14322.84961,0.03284027,0.7413,0.7445
187.7,1.42,2.1,0.0056,0.4393,0.513,0.8648,14351.59961,"1,317.40",47.96,14411.29981,0.063791153,0.7477,0.74985
176.9,1.43,-4.6,0.0051,0.3766,0.5137,0.8489,14471,"1,321.50",48.52,14540.75,0.109088937,0.752,0.75265
258.9,1.82,0,0.0022,0.4196,0.5434,0.9699,14610.5,"1,317.40",49.78,14639.5,0.143643973,0.7533,0.7552
197.5,3.84,2,-0.0033,0.4383,0.6974,0.8793,14668.5,"1,323.50",52.36,14719.6001,0.171672954,0.7571,0.7563
160.2,2.81,1.8,-0.0028,0.4364,0.6189,0.8242,14770.7002,"1,319.20",52.59,14822.4502,0.207662715,0.7555,0.75465
205.7,-0.77,-2.2,0,0.3991,0.346,0.8914,14874.2002,"1,321.30",51.59,14877.6001,0.226961011,0.7538,0.75325
110.3,-2.08,4.1,0.0017,0.4579,0.2462,0.7506,14881,"1,323.30",50.51,14941.5,0.249321147,0.7527,0.75325
127.8,0.52,-1.6,-0.0006,0.4047,0.4444,0.7764,15002,"1,319.70",52.11,15037.14991,0.282791384,0.7538,0.7541
191.3,1.8,1.8,-0.0002,0.4364,0.5419,0.8701,15072.29981,"1,325.10",52.31,15074.69971,0.295930977,0.7544,0.7538
75.1,-0.04,3.9,-0.0009,0.4561,0.4017,0.6986,15077.09961,"1,323.60",52.07,15186.04981,0.334895094,0.7532,0.7537
222.7,1.49,-11.3,-0.0053,0.314,0.5183,0.9165,15295,"1,313.80",53.8,15297.7002,0.373964292,0.7542,0.75325
223.3,2.17,-44.55,-0.0027,0.0033,0.5701,0.9173,15300.40039,"1,279.05",54.24,15288.3501,0.370692465,0.7523,0.7506
-18.7,-1.23,0.4,0.0002,0.4234,0.311,0.5601,15276.29981,"1,314.20",52.57,15276.00001,0.366370866,0.7489,0.74925
-24.7,-1.62,36.15,0.0069,0.7575,0.2813,0.5513,15275.7002,"1,315.20",52.62,15238.6001,0.353283726,0.7496,0.74935
-74.8,0.56,-3.4,0.0051,0.3879,0.4474,0.4773,15201.5,"1,310.80",53.13,15275.8501,0.36631841,0.7491,0.7528
74.5,1.07,13.9,-0.0028,0.5495,0.4863,0.6977,15350.2002,"1,329.10",53.69,15319.64991,0.381645031,0.7565,0.75535
